simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
399	5.863818E+07	1.903886E+04	1.083512E+07	2.971487E+05	1.380496E+04	3.299925E+05	6.857614E+05	8.487315E+06	3.913772E+05	5.783344E+05	6.923055E+05
400	5.847067E+07	2.186662E+04	1.090733E+07	3.858438E+05	2.113631E+04	4.288467E+05	5.319182E+05	7.504755E+06	6.892431E+05	3.991980E+05	1.782158E+06
401	5.857355E+07	2.276016E+04	1.042935E+07	7.453026E+05	3.625672E+04	8.043194E+05	6.192512E+05	6.968158E+06	1.138936E+06	1.121714E+06	5.812662E+05
402	5.829351E+07	2.214676E+04	1.123895E+07	2.380426E+05	1.539992E+04	2.755893E+05	7.438700E+05	6.781056E+06	2.234398E+06	1.103657E+05	1.369204E+06
403	5.859818E+07	2.156164E+04	1.053842E+07	6.192115E+05	2.944229E+04	6.702154E+05	7.172524E+05	7.048655E+06	5.039151E+05	1.168098E+06	1.100458E+06
404	5.867010E+07	1.770251E+04	1.087492E+07	2.289820E+05	9.810411E+03	2.564949E+05	8.168472E+04	9.479312E+06	5.832215E+05	5.947784E+05	1.359220E+05
405	5.841383E+07	2.113872E+04	1.107646E+07	2.797453E+05	1.598758E+04	3.168716E+05	5.552858E+05	7.282348E+06	1.726607E+06	3.301071E+05	1.182065E+06
406	5.802884E+07	2.706885E+04	1.101800E+07	6.916061E+05	4.903565E+04	7.677106E+05	5.079033E+05	4.564420E+06	3.357549E+06	8.044509E+05	1.783606E+06
407	5.823071E+07	2.767277E+04	1.072911E+07	7.734082E+05	5.003652E+04	8.511175E+05	5.116911E+05	6.093778E+06	1.727305E+06	2.989739E+05	2.097283E+06
408	5.858121E+07	2.368978E+04	1.036973E+07	7.925800E+05	3.924261E+04	8.555123E+05	8.646079E+05	7.176564E+06	9.362207E+05	8.444927E+05	5.478182E+05
409	5.863199E+07	1.998881E+04	1.072423E+07	4.073916E+05	1.871163E+04	4.460921E+05	4.634856E+04	9.306885E+06	7.156580E+05	4.283260E+05	2.270095E+05
410	5.849454E+07	2.292415E+04	1.058321E+07	6.740801E+05	3.510571E+04	7.321099E+05	9.494858E+05	5.890133E+06	1.164966E+06	1.232502E+06	1.346068E+06
411	5.856549E+07	2.449324E+04	1.037657E+07	7.990745E+05	3.970518E+04	8.632729E+05	2.438921E+05	8.194546E+06	3.419011E+05	4.918712E+05	1.104322E+06
412	5.840857E+07	2.324327E+04	1.075997E+07	5.870499E+05	3.263182E+04	6.429250E+05	8.712938E+05	5.524509E+06	1.085119E+06	1.155177E+06	2.123791E+06
413	5.844989E+07	2.322941E+04	1.074654E+07	5.587621E+05	3.040491E+04	6.123965E+05	4.747594E+05	6.815052E+06	6.231016E+05	7.333952E+05	2.100163E+06
414	5.844674E+07	2.118494E+04	1.083172E+07	4.835119E+05	2.555579E+04	5.302526E+05	5.720661E+05	6.444019E+06	2.705130E+06	9.821007E+05	1.283971E+05
415	5.823528E+07	2.222658E+04	1.121925E+07	3.133178E+05	1.992620E+04	3.554705E+05	7.915450E+05	5.886195E+06	3.244413E+06	4.870219E+05	8.100342E+05
