simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
536	5.981803E+07	2.614607E+04	9.115269E+06	8.038362E+05	4.954311E+04	8.795254E+05	6.957613E+05	5.640638E+06	7.334999E+05	7.684142E+05	1.276899E+06
537	5.921580E+07	2.534505E+04	9.826221E+06	6.988030E+05	4.319559E+04	7.673436E+05	8.198608E+05	6.426465E+06	1.851350E+06	2.995589E+05	4.289624E+05
538	5.909967E+07	2.488694E+04	1.010478E+07	5.470913E+05	3.453276E+04	6.065110E+05	7.062488E+05	6.154122E+06	9.163769E+05	4.244530E+05	1.903498E+06
539	5.860430E+07	2.441512E+04	1.037298E+07	7.671930E+05	4.450921E+04	8.361173E+05	6.490411E+05	4.974737E+06	2.461225E+06	1.333896E+06	9.540456E+05
540	5.984252E+07	2.358656E+04	9.520253E+06	3.978112E+05	2.600760E+04	4.474054E+05	4.377150E+05	6.669666E+06	1.184528E+06	1.888669E+05	1.039431E+06
541	5.690628E+07	2.681701E+04	1.178931E+07	1.031394E+06	5.837017E+04	1.116581E+06	8.437711E+05	4.847995E+06	3.590706E+06	1.324156E+06	1.182634E+06
542	5.687719E+07	2.962268E+04	1.161430E+07	1.221693E+06	7.102009E+04	1.322336E+06	1.236180E+05	4.971200E+06	3.014867E+06	1.300566E+06	2.203983E+06
543	6.009087E+07	2.314140E+04	9.212620E+06	4.590159E+05	2.871940E+04	5.108767E+05	7.882590E+04	5.654102E+06	9.208048E+05	9.655563E+05	1.593268E+06
544	6.086917E+07	2.267061E+04	8.456453E+06	4.366831E+05	2.712079E+04	4.864745E+05	2.103178E+05	6.315556E+06	8.825940E+05	6.224698E+05	4.254950E+05
545	5.702353E+07	2.698891E+04	1.160232E+07	1.098509E+06	6.141041E+04	1.186908E+06	9.634164E+05	4.546237E+06	3.469709E+06	1.506400E+06	1.116519E+06
